"","nest","site","species","status","fate","final_fate","i","j","k","cov_5m","nest_age","nocc"
"171","20273","RUTE","LETE","0,0,0,0,0",0,"1","58","73","73","40",NA,"99"
"172","20276","RUTE","CONI","0,0,0,0",0,"1","61","73","73","75","19","99"
"173","20277","RUTE","LETE","0,1",1,"0","61","61","66","50",NA,"99"
"174","20278","RUTW","LETE","0,1",1,"6","65","65","70","75",NA,"99"
"175","20279","RUTW","LETE","0,1",1,"6","65","65","70","75",NA,"99"
"176","20280","RUTW","LETE","0,1",1,"6","65","65","70","75",NA,"99"
"177","20282","RUTW","LETE","0,1",1,"5","65","65","70","20",NA,"99"
"178","20298","RUTW","LETE","0,0,0,0",0,"1","70","78","78","40",NA,"99"
"179","20299","RUTW","LETE","0,0,0,0,1",1,"4","70","81","83","40","12","99"
"180","20300","RUTW","CONI","0",0,"1","46","46","46","90","16","99"
"181","20301","RUTW","CONI","0,0,0,1",1,"0","46","57","59","80","20","99"
"182","20303","RUTW","LETE","0,1",1,"6","49","49","52","40",NA,"99"
"183","20304","RUTW","LETE","0,0",0,"1","49","57","57","70","19","99"
"184","20317","RUTW","CONI","0,0,0,0",0,"1","53","67","67",NA,"16","99"
"185","20320","RUTW","CONI","0,0,0,0,0,1",1,"4","53","71","77","90","27","99"
"186","20321","RUTW","CONI","0,0,0,0",0,"1","53","67","67","60","19","99"
"187","20322","RUTW","CONI","0,0,0,1",1,"4","57","70","70","50","26","99"
"188","20324","RUTW","CONI","0,1",1,"4","59","59","63","90","6","99"
"189","20401","RUTW","LETE","0,0,0,0,0,0",0,"1","70","85","85","10",NA,"99"
"190","20402","RUTW","LETE","0,0,0,0,0,0,0",0,"1","70","89","89","10","22","99"
"191","20403","RUTW","LETE","0,0,0,1",1,"6","70","77","81","10",NA,"99"
"192","20404","RUTW","CONI","0,0,1",1,"6","70","73","77","90",NA,"99"
"193","20406","RUTW","LETE","0,0,0,0,0,0,0",0,"1","73","92","92","50","20","99"
"194","20407","RUTW","LETE","0,0,0,0,0,0",0,"1","73","89","89","50",NA,"99"
"195","20408","RUTW","LETE","0,0,0,0,0",0,"1","73","85","85","50","21","99"
"196","20409","RUTW","LETE","0,0,1",1,"4","73","77","81","50",NA,"99"
"197","20410","RUTW","LETE","0,0,0,0,0,0,0,0",0,"1","73","95","95","50",NA,"99"
"198","20411","RUTW","LETE","0,1",1,"5","73","73","77","50",NA,"99"
"199","20414","RUTW","LETE","0,0,0,0,0,0,0,1",1,"4","77","81","98","70",NA,"99"
"200","20415","RUTW","LETE","0,0,0,0,0,0,0,0",0,"1","78","98","98","40","24","99"
"201","20416","RUTW","LETE","0,0,0,0,0,0",0,"1","78","92","92","40",NA,"99"
"202","20417","RUTW","LETE","0,1,1,1",1,"5","78","78","85","20",NA,"99"
"203","20418","RUTW","CONI","0,0,0,0,0",0,"1","78","89","89","40",NA,"99"
"204","20420","RUTW","LETE","0,0,0,0,0,0,0,0",0,"1","82","101","101","75","22","99"
"205","20421","RUTW","LETE","0,0,0,0",0,"1","82","89","89","50",NA,"99"
"206","20422","RUTW","LETE","0,0,0,0,0,0,1",1,"4","82","92","98","40","15","99"
"207","20423","RUTW","LETE","0,0,0,0,0,0,0,1",1,"2","82","98","101","75",NA,"99"
"208","20425","RUTW","LETE","0,0,0,0,0,0,0",0,"1","83","101","101","40",NA,"99"
"209","20426","RUTW","LETE","0,0,1",1,"6","83","85","89","25",NA,"99"
"210","20427","RUTW","LETE","0,0,0,0,0",0,"1","83","95","95","25",NA,"99"
"211","20428","RUTW","LETE","0,0,0,1",1,"0","83","89","92","25",NA,"99"
"212","20429","RUTW","LETE","0,0,0,0,0,1",1,"6","83","95","98","25",NA,"99"
"213","20432","RUTW","LETE","0,0,0,0,0,1",1,"6","85","98","101","10",NA,"99"
"214","20433","RUTW","LETE","0,0,0,0,0,1",1,"6","85","98","101","10","17","99"
"215","20434","RUTW","LETE","0,0,0,0,0,1",1,"2","85","98","101","10",NA,"99"
"216","20435","RUTW","LETE","0,0,1",1,"6","85","89","92","0",NA,"99"
"217","20436","RUTW","LETE","0,0,0,0,0",0,"1","85","98","98","30","20","99"
"218","20437","RUTW","LETE","0,0,1",1,"4","85","89","92","50",NA,"99"
"219","20438","RUTW","LETE","0,0,0,0",0,"1","85","95","95","10",NA,"99"
"220","20439","RUTW","LETE","0,1",1,"2","85","85","89","10",NA,"99"
"221","20440","RUTW","LETE","0,1",1,"2","85","85","89","10",NA,"99"
"222","20443","RUTW","LETE","0,0,0,0,0",0,"1","85","98","98","20",NA,"99"
"223","20444","RUTW","LETE","0,0,0,0,0",0,"1","85","98","98","75",NA,"99"
"224","20445","RUTW","LETE","0,0,0",0,"1","89","95","95","10",NA,"99"
"225","20446","RUTW","LETE","0,0,0,0,0",0,"1","89","101","101","0",NA,"99"
"226","20447","RUTW","LETE","0,0,0,0,0",0,"1","89","101","101","0",NA,"99"
"227","20448","RUTW","LETE","0,1",1,"6","89","89","92","0",NA,"99"
"228","20449","RUTW","LETE","0,0,0,0,1",1,"0","89","98","101","10",NA,"99"
"229","20450","RUTW","LETE","0,0,0,1,0",0,"1","89","101","101","30",NA,"99"
"230","20451","RUTW","LETE","0,0,0",0,"1","92","98","98","30",NA,"99"
"231","20452","RUTW","LETE","0,0,0,0",0,"1","92","101","101","30",NA,"99"
"232","20453","RUTW","LETE","0,0,0,0",0,"1","92","101","101","30",NA,"99"
"233","20455","RUTW","LETE","0,1",1,"3","95","95","98","0",NA,"99"
"234","20456","RUTW","LETE","0,0,1",1,"0","95","98","101","0",NA,"99"
"235","20457","RUTW","LETE","0,0,0",0,"1","95","101","101","10",NA,"99"
"236","20458","RUTW","LETE","0,0,0",0,"1","95","101","101","30",NA,"99"
"237","20459","RUTW","LETE","0,0,1",1,"3","98","101","103","10",NA,"99"
"238","20461","RUTW","LETE","0,1",1,"0","101","101","103","5","5","99"
"239","20462","RUTW","LETE","0,1",1,"3","101","101","103","5",NA,"99"
"240","20463","RUTW","LETE","0,1",1,"3","101","101","103","30","18","99"
"241","20464","RUTW","LETE","0,1",1,"3","101","101","103","0",NA,"99"
"242","20465","RUTW","LETE","0,1",1,"3","101","101","103","40","18","99"
"243","20466","RUTW","LETE","0,1",1,"4","105","105","109","50","20","99"
