"","nest","site","species","status","fate","i","j","k","final_fate","cov_5m","nest_age","cam_fate"
"200","20415","RUTW","LETE","0,0,0,0,0,0,0,0",0,"78","98","99","1","40","24","1"
"201","20416","RUTW","LETE","0,0,0,0,0,0",0,"78","92","92","1","40",NA,NA
"202","20417","RUTW","LETE","0,1,1,1",1,"78","78","85","5","20",NA,NA
"203","20418","RUTW","CONI","0,0,0,0,0",0,"78","89","89","1","40",NA,NA
"204","20420","RUTW","LETE","0,0,0,0,0,0,0,0",0,"82","101","102","1","75","22","1"
"205","20421","RUTW","LETE","0,0,0,0",0,"82","89","89","1","50",NA,NA
"206","20422","RUTW","LETE","0,0,0,0,0,0,1",1,"82","92","98","4","40","15","0"
"207","20423","RUTW","LETE","0,0,0,0,0,0,0,1",1,"82","98","101","2","75",NA,NA
"208","20425","RUTW","LETE","0,0,0,0,0,0,0",0,"83","101","101","1","40",NA,NA
"209","20426","RUTW","LETE","0,0,1",1,"83","85","89","6","25",NA,NA
"210","20427","RUTW","LETE","0,0,0,0,0",0,"83","95","95","1","25",NA,NA
"211","20428","RUTW","LETE","0,0,0,1",1,"83","89","92","0","25",NA,NA
"212","20429","RUTW","LETE","0,0,0,0,0,1",1,"83","95","98","6","25",NA,NA
"213","20432","RUTW","LETE","0,0,0,0,0,1",1,"85","98","101","6","10",NA,NA
"214","20433","RUTW","LETE","0,0,0,0,0,1",1,"85","98","101","6","10","17","6"
"215","20434","RUTW","LETE","0,0,0,0,0,1",1,"85","98","101","2","10",NA,NA
"216","20435","RUTW","LETE","0,0,1",1,"85","89","92","6","0",NA,NA
"217","20436","RUTW","LETE","0,0,0,0,0",0,"85","98","97","1","30","20","1"
"218","20437","RUTW","LETE","0,0,1",1,"85","89","92","4","50",NA,NA
"219","20438","RUTW","LETE","0,0,0,0",0,"85","95","95","1","10",NA,NA
"220","20439","RUTW","LETE","0,1",1,"85","85","89","2","10",NA,NA
"221","20440","RUTW","LETE","0,1",1,"85","85","89","2","10",NA,NA
"222","20443","RUTW","LETE","0,0,0,0,0",0,"85","98","98","1","20",NA,NA
"223","20444","RUTW","LETE","0,0,0,0,0",0,"85","98","98","1","75",NA,NA
