"","nest","site","species","status","fate","i","j","k","final_fate","cov_5m","nest_age","cam_fate","nocc"
"151","20243","RUTE","LETE","0,0,0,0,1,0",0,"42","53","55","1","20",NA,NA,"99"
"152","20244","RUTE","LETE","0,1",1,"42","42","45","6","30",NA,NA,"99"
"153","20245","RUTE","LETE","0,1",1,"42","42","45","6","30",NA,NA,"99"
"154","20246","RUTE","LETE","0,1",1,"42","42","45","6","30",NA,NA,"99"
"155","20247","RUTE","LETE","0,0,1",1,"42","45","48","4","50",NA,NA,"99"
"156","20248","RUTW","LETE","0,0,1",1,"44","48","52","3","0",NA,NA,"99"
"157","20249","RUTW","LETE","0,0,0,1,0,0,0",0,"44","61","61","1","20","23","1","99"
"158","20250","RUTW","LETE","0,0,1,0,0,0",0,"44","61","65","1","50","21","1","99"
"159","20252","RUTE","LETE","0,1,0,0,0",0,"48","58","61","1","20",NA,NA,"99"
"160","20254","RUTW","LETE","0,0,0,1",1,"52","57","61","5",NA,NA,NA,"99"
"161","20257","RUTW","CONI","0,0,0",0,"44","61","60","1","50","14","1","99"
"162","20258","RUTW","CONI","0,0",0,"44","50","50","1","95","16","1","99"
"163","20259","RUTW","CONI","0",0,"44","44","45","1","80","16","1","99"
"164","20261","RUTW","LETE","0,0,0,0,0,0,0",0,"52","77","77","1","10",NA,NA,"99"
"165","20262","RUTE","LETE","1,0,0,0,0,0",0,"53","70","70","1","30",NA,NA,"99"
"166","20265","RUTE","CONI","1,0,0,0",0,"53","66","66","1","80",NA,NA,"99"
"167","20268","RUTW","CONI","0,0,0,1",1,"57","65","70","4","95",NA,NA,"99"
"168","20269","RUTW","LETE","0,0,0,0,0",0,"57","73","72","1","40","19","1","99"
"169","20270","RUTW","CONI","0,0,1",1,"57","61","65","5","70",NA,NA,"99"
"170","20271","RUTW","LETE","0,1",1,"57","57","61","6","10",NA,NA,"99"
"171","20273","RUTE","LETE","0,0,0,0,0",0,"58","73","73","1","40",NA,NA,"99"
"172","20276","RUTE","CONI","0,0,0,0",0,"61","73","74","1","75","19","1","99"
"173","20277","RUTE","LETE","0,1",1,"61","61","66","0","50",NA,NA,"99"
"174","20278","RUTW","LETE","0,1",1,"65","65","70","6","75",NA,NA,"99"
"175","20279","RUTW","LETE","0,1",1,"65","65","70","6","75",NA,NA,"99"
"176","20280","RUTW","LETE","0,1",1,"65","65","70","6","75",NA,NA,"99"
"177","20282","RUTW","LETE","0,1",1,"65","65","70","5","20",NA,NA,"99"
"178","20298","RUTW","LETE","0,0,0,0",0,"70","78","78","1","40",NA,NA,"99"
"179","20299","RUTW","LETE","0,0,0,0,1",1,"70","81","83","4","40","12","4","99"
"180","20300","RUTW","CONI","0",0,"46","46","47","1","90","16","1","99"
"181","20301","RUTW","CONI","0,0,0,1",1,"46","57","63","0","80","20","6","99"
"182","20303","RUTW","LETE","0,1",1,"49","49","52","6","40",NA,"6","99"
"183","20304","RUTW","LETE","0,0",0,"49","57","56","1","70","19","1","99"
"184","20317","RUTW","CONI","1,0,0,0",0,"53","67","68","1",NA,"16","1","99"
"185","20320","RUTW","CONI","1,0,0,0,0,1",1,"53","71","75","4","90","27","4","99"
"186","20321","RUTW","CONI","1,0,0,0",0,"53","67","68","1","60","19","1","99"
"187","20322","RUTW","CONI","0,0,0,1",1,"57","70","72","4","50","26","4","99"
"188","20324","RUTW","CONI","0,1",1,"59","59","61","4","90","6","6","99"
"189","20401","RUTW","LETE","0,0,0,0,0,0",0,"70","85","85","1","10",NA,NA,"99"
"190","20402","RUTW","LETE","0,0,0,0,0,0,0",0,"70","89","89","1","10","22","1","99"
"191","20403","RUTW","LETE","0,0,0,1",1,"70","77","81","6","10",NA,NA,"99"
"192","20404","RUTW","CONI","0,0,1",1,"70","73","77","6","90",NA,NA,"99"
"193","20406","RUTW","LETE","0,0,0,0,0,0,0",0,"73","92","91","1","50","20","1","99"
"194","20407","RUTW","LETE","0,0,0,0,0,0",0,"73","89","89","1","50",NA,NA,"99"
"195","20408","RUTW","LETE","0,0,0,0,0",0,"73","85","83","1","50","21","1","99"
"196","20409","RUTW","LETE","0,0,1",1,"73","77","81","4","50",NA,NA,"99"
